minmod_id,name,aliases,geokb_name,geokb_id,is_critical_commodity,mrds_code
Q501,Abrasive,,abrasive,Q407,0,ABR
Q502,"Abrasive, Corundum",,corundum abrasive,Q408,0,ABR_C
Q503,"Abrasive, Emery",,emery abrasive,Q409,0,ABR_E
Q504,"Abrasive, Garnet",,garnet abrasive,Q410,0,ABR_G
Q505,"Aggregate, Light Weight",,light weight aggregate,Q472,0,LWA
Q506,Aluminum,Al,aluminum,Q293,1,AL
Q507,"Aluminum, Contained Or Metal",,contained or metal aluminum,Q412,0,AL_C
Q508,"Aluminum, High Alumina Clay",,high alumina clay aluminum,Q413,0,AL_CLY
Q509,Andalusite,,andalusite,Q162208,0,AND
Q510,Antimony,Sb,antimony,Q295,1,SB
Q511,Arsenic,As,arsenic,Q297,1,AS
Q512,Asbestos,,Asbestos,Q162232,0,ASB
Q513,Barium-Barite,,barium-barite,Q419,0,BA
Q514,Bismuth,Bi,bismuth,Q302,1,BI
Q515,Boron-Borates,,boron-borates,Q418,0,B
Q516,Cadmium,Cd,cadmium,Q306,0,CD
Q517,Carbon Dioxide,,carbon dioxide,Q434,0,CO2
Q518,Cement Rock,,cement rock,Q420,0,CEM
Q519,Chromium,Cr,chromium,Q313,1,CR
Q520,"Chromium, Ferrochrome",,ferrochrome chromium,Q440,0,CR_F
Q521,Clay,,clay,Q421,0,CLY
Q522,"Clay, Ball Clay",,ball clay,Q422,0,CLY_BC
Q523,"Clay, Bloating Material",,bloating material clay,Q424,0,CLY_BM
Q524,"Clay, Brick",,brick clay,Q423,0,CLY_BK
Q525,"Clay, Chlorite",,chlorite clay,Q426,0,CLY_C
Q526,"Clay, Fire (Refractory)",,fire (refractory) clay,Q428,0,CLY_FR
Q527,"Clay, Fullers Earth",,fullers earth clay,Q427,0,CLY_FE
Q528,"Clay, General",,general clay,Q430,0,CLY_GN
Q529,"Clay, Glauconite",,glauconite clay,Q429,0,CLY_GL
Q530,"Clay, Hectorite",,hectorite clay,Q431,0,CLY_H
Q531,"Clay, Kaolin",,kaolin clay,Q432,0,CLY_K
Q532,"Clay, Montmorillonite",,montmorillonite clay,Q433,0,CLY_M
Q533,"Coal, Anthracite",,anthracite,Q41375,0,COA_A
Q534,"Coal, Bituminous",,bituminous coal,Q437,0,COA_B
Q535,"Coal, Lignite",,lignite coal,Q438,0,COA_L
Q536,"Coal, Subbituminous",,subbituminous coal,Q439,0,COA_S
Q537,Cobalt,Co,cobalt,Q314,1,CO
Q538,Copper,Cu,copper,Q315,1,CU
Q539,"Copper, Oxide",,oxide copper,Q441,0,CU_O
Q540,"Copper, Sulfide",,sulfide copper,Q442,0,CU_S
Q541,Dolomite,,dolomite,Q162362,0,DOL
Q542,Feldspar,,feldspar,Q162399,0,FLD
Q543,Fluorine-Fluorite,,fluorine-fluorite,Q446,0,F
Q544,Gemstone,,gemstone,Q452,0,GEM
Q545,"Gemstone, Diamond",,Diamond,Q453,0,GEM_D
Q546,"Gemstone, Emerald",,emerald,Q454,0,GEM_E
Q547,"Gemstone, Ruby",,Ruby,Q456,0,GEM_R
Q548,"Gemstone, Sapphire",,Sapphire,Q457,0,GEM_SA
Q549,"Gemstone, Semiprecious",,semiprecious gemstone,Q458,0,GEM_SP
Q550,Geothermal,,geothermal,Q459,0,GEO
Q551,Gold,Au,gold,Q329,0,AU
Q552,"Gold, Refinery",,refinery gold,Q417,0,AU_R
Q553,Graphite,,Graphite,Q162418,1,GRF
Q554,"Graphite, Carbon",,carbon graphite,Q461,0,GRF_C
Q555,Gypsum-Anhydrite,,gypsum-anhydrite,Q463,0,GYP
Q556,"Gypsum-Anhydrite, Alabaster",,alabaster gypsum-anhydrite,Q464,0,GYP_A
Q557,Hafnium,Hf,hafnium,Q330,1,HF
Q558,Helium,He,helium,Q332,1,HE
Q559,Indium,In,indium,Q335,1,IN
Q560,Iodine,I,iodine,Q336,0,I
Q561,Iron,Fe,iron,Q337,0,FE
Q562,"Iron, Pig Iron",,pig iron,Q447,0,FE_P
Q563,"Iron, Pyrite",,pyrite iron,Q448,0,FE_PYR
Q564,Kyanite,,kyanite,Q162486,0,KYN
Q565,Lead,Pb,lead,Q342,0,PB
Q566,"Limestone, Dimension",,dimension limestone,Q470,0,LST_D
