prefix,name,description,score,connection
mining-report::https://api.cdr.land/v1/docs/documents,mining-report,Mining Report storing in CDR,0.8,pdf:::https://docs.polymer.rocks/cdr/d/{record_id}/{page_number=1}
mining-report::https://w3id.org/usgs/z,mining-report,Mining Report storing in Zotero,0.8,
article::http://minmod.isi.edu/papers/lithium-in-nevada-simon-jowitt-2024,article,Jowitt's compiled Lithium data,0.8,
article::https://doi.org/10.1016/j.oregeorev.2016.08.010,article,Mudd & Jowitt Zinc Lead data,0.8,
article::https://doi.org/10.2113/econgeo.110.8.1925,article,Jowitt REE data,0.8,
database::https://doi.org/10.4095/295581,world-tin-tungsten-deposit,World Tin Tungsten Deposit,0.8,
database::https://doi.org/10.5066/P96MMRFD,ardf,Alaska Resource Data File,0.5,
database::https://doi.org/10.5066/P970GDD5,tri-national-cmmi,"National-Scale Geophysical, Geologic, and Mineral Resource Data and Grids for the United States, Canada, and Australia",0.5,
database::https://doi.org/10.5066/P9K1HBNT,earth-mri-usa,Critical mineral deposits of the United States,0.5,
article::https://doi.org/10.5382/econgeo.2018.4590,article,Mudd & Jowitt Copper Data,0.8,
article::https://doi.org/10.5382/econgeo.4950,article,Mudd & Jowitt Nickel Data,0.8,
database::https://mrdata.usgs.gov/asbestos,mrdata-asbestos,"Asbestos mines, prospects, and occurrences in the US",0.5,
database::https://mrdata.usgs.gov/carbonatite,mrdata-carbonatite,"Carbonatites of the world, explored deposits of Nb and REE",0.5,
database::https://mrdata.usgs.gov/deposit,mrdata-deposit,USMIN Mineral Deposit Database,0.7,
database::https://mrdata.usgs.gov/laterite,mrdata-laterite,Ni-Co laterite deposits of the world,0.5,
database::https://mrdata.usgs.gov/major-deposits,mrdata-major-deposits,Major mineral deposits of the world,0.5,
database::https://mrdata.usgs.gov/mrds,mrdata-mrds,Mineral Resources Data System (MRDS),0.1,webpage::https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id={record_id}
database::https://mrdata.usgs.gov/nicrpge,mrdata-nicrpge,PGE-Ni-Cr deposit and occurrence bibliographic database,0.5,
database::https://mrdata.usgs.gov/ofr20151121,mrdata-ofr20151121,Phosphate occurrence and potential of south Asia,0.5,
database::https://mrdata.usgs.gov/phosphate,mrdata-phosphate,"World phosphate mines, deposits, and occurrences",0.5,
database::https://mrdata.usgs.gov/podchrome,mrdata-podchrome,Podiform chromite deposits,0.5,
database::https://mrdata.usgs.gov/porcu,mrdata-porcu,Porphyry copper deposits of the world,0.5,
database::https://mrdata.usgs.gov/potash,mrdata-potash,Evaporite-related potash resources worldwide,0.5,
database::https://mrdata.usgs.gov/pp1802,mrdata-pp1802,"Global distribution of selected mines, deposits, and districts of critical minerals",0.5,
database::https://mrdata.usgs.gov/pp577,mrdata-pp577,Mica deposits of the Blue Ridge in North Carolina,0.5,
database::https://mrdata.usgs.gov/ree,mrdata-ree,"Rare earth element mines, deposits, and occurrences",0.5,
database::https://mrdata.usgs.gov/sedau,mrdata-sedau,Sediment-hosted gold deposits,0.5,
database::https://mrdata.usgs.gov/sedcu,mrdata-sedcu,Sediment-hosted copper deposits of the world,0.5,
database::https://mrdata.usgs.gov/sedexmvt,mrdata-sedexmvt,Mineral resource data for Mississippi Valley-Type and clastic-dominated sediment-hosted lead-zinc deposits,0.5,
database::https://mrdata.usgs.gov/sedznpb,mrdata-sedznpb,Sediment-hosted zinc-lead deposits of the world,0.5,
database::https://mrdata.usgs.gov/sir20105090z,mrdata-sir20105090z,Global assessment of undiscovered copper resources,0.5,
database::https://mrdata.usgs.gov/vms,mrdata-vms,Volcanogenic massive sulfide deposits,0.5,
